"SubjectArea","CourseViewed","ReasonForStudy","LearnerType","StudyHours","PreviousEducation","AgeRange"
"Professions and Applied Sciences","1","4","5","2","3","1"
"Professions and Applied Sciences","1","4","5","4","3","1"
"Professions and Applied Sciences","0","1","1","3","3","1"
"Professions and Applied Sciences","1","1","1","2","3","1"
"Education","1","3","1","2","3","1"
"Professions and Applied Sciences","1","3","1","5","3","1"
"Professions and Applied Sciences","1","3","3","2","3","1"
"Professions and Applied Sciences","1","3","6","3","3","1"
"Professions and Applied Sciences","1","2","3","2","3","1"
"Professions and Applied Sciences","1","3","3","5","3","1"
"Medical Pre-Medical","1","1","5","2","3","1"
"Professions and Applied Sciences","0","1","2","3","3","1"
"Professions and Applied Sciences","0","3","1","2","3","1"
"Professions and Applied Sciences","0","3","6","3","3","1"
"Social Sciences","1","3","2","4","3","1"
"Professions and Applied Sciences","1","3","5","2","3","1"
"Professions and Applied Sciences","1","3","5","3","3","1"
"Mathematics & Statistics","1","1","5","3","3","1"
"Professions and Applied Sciences","1","3","4","3","3","1"
"Professions and Applied Sciences","1","3","6","3","3","1"
"Social Sciences","1","3","6","2","3","1"
"Professions and Applied Sciences","1","1","2","3","3","1"
"Professions and Applied Sciences","1","3","3","4","3","1"
"Professions and Applied Sciences","1","3","2","2","3","1"
"Professions and Applied Sciences","1","1","2","4","3","1"
"Professions and Applied Sciences","1","3","6","5","3","1"
"Professions and Applied Sciences","1","3","2","4","3","1"
"Professions and Applied Sciences","1","1","2","4","3","1"
"Professions and Applied Sciences","1","3","3","4","3","1"
"Professions and Applied Sciences","1","3","6","4","3","1"
"Interdisciplinary and Other","0","1","1","3","3","1"
"Professions and Applied Sciences","0","4","5","2","3","1"
"Business and Management","0","3","5","2","3","1"
"Education","0","1","1","4","3","1"
"Interdisciplinary and Other","0","3","1","4","3","1"
"Business and Management","0","3","3","2","3","1"
"Business and Management","0","1","1","4","3","1"
"Computer Science","0","3","1","3","3","1"
"Interdisciplinary and Other","0","3","5","2","3","1"
"Professions and Applied Sciences","0","4","4","1","3","1"
"Professions and Applied Sciences","0","3","4","3","3","1"
"Computer Science","0","4","1","3","3","1"
"Business and Management","0","3","5","4","3","1"
"Professions and Applied Sciences","0","1","1","4","3","1"
"Professions and Applied Sciences","0","1","1","3","3","1"
"Education","0","2","1","4","3","1"
"Mathematics & Statistics","0","3","5","1","3","1"
"Business and Management","0","3","3","2","3","1"
"Business and Management","0","3","1","2","3","1"
"Professions and Applied Sciences","0","4","5","2","3","1"
"Computer Science","0","4","5","2","3","1"
"Interdisciplinary and Other","0","3","3","1","3","1"
"Interdisciplinary and Other","0","4","4","2","3","1"
"Professions and Applied Sciences","0","1","1","4","3","1"
"Interdisciplinary and Other","0","3","1","2","3","1"
"Mathematics & Statistics","0","0","0","3","3","1"
"Business and Management","0","1","5","2","3","1"
"Business and Management","0","3","3","3","3","1"
"Business and Management","0","3","3","3","3","1"
"Business and Management","0","4","1","3","3","1"
"Business and Management","0","3","3","2","3","1"
"Business and Management","0","3","5","4","3","1"
"Professions and Applied Sciences","0","4","5","2","3","1"
"Education","0","1","0","3","3","1"
"Business and Management","0","3","1","3","3","1"
"Business and Management","0","1","1","2","3","1"
"Professions and Applied Sciences","0","3","5","2","3","1"
"Computer Science","0","4","5","3","3","1"
"Business and Management","0","3","5","3","3","1"
"Professions and Applied Sciences","0","1","1","3","3","1"
"Education","0","0","0","0","3","1"
"Business and Management","0","1","1","3","3","1"
"Professions and Applied Sciences","0","1","1","4","3","1"
"Interdisciplinary and Other","0","3","1","3","3","1"
"Education","0","3","5","2","3","1"
"Education","0","3","0","4","3","1"
"Mathematics & Statistics","0","3","5","3","3","1"
"Business and Management","0","3","3","3","3","1"
"Business and Management","0","1","1","5","3","1"
"Business and Management","0","3","1","4","3","1"
"Mathematics & Statistics","1","1","1","2","3","1"
"Interdisciplinary and Other","0","3","5","5","3","1"
"Business and Management","0","3","1","4","3","1"
"Business and Management","0","3","1","4","3","1"
"Humanities","0","4","1","5","3","1"
"Professions and Applied Sciences","0","3","5","4","3","1"
"Professions and Applied Sciences","0","4","3","3","3","1"
"Professions and Applied Sciences","0","3","5","2","3","1"
"Education","0","3","1","2","3","1"
"Professions and Applied Sciences","0","3","5","5","3","1"
"Interdisciplinary and Other","0","1","1","3","3","1"
"Business and Management","0","3","3","4","3","1"
"Professions and Applied Sciences","0","3","5","3","3","1"
"Interdisciplinary and Other","0","3","4","2","3","1"
"Education","0","1","5","2","3","1"
"Professions and Applied Sciences","1","1","2","3","3","1"
"Business and Management","1","3","2","3","3","1"
"Professions and Applied Sciences","1","3","2","3","3","1"
"Education","1","2","4","3","3","1"
"Professions and Applied Sciences","1","1","3","3","3","1"
"Business and Management","1","1","2","3","3","1"
"Business and Management","1","1","1","5","3","1"
"Professions and Applied Sciences","1","3","1","5","3","1"
"Professions and Applied Sciences","1","4","5","2","3","1"
"Professions and Applied Sciences","1","1","2","3","3","1"
"Professions and Applied Sciences","1","1","6","4","3","1"
"Professions and Applied Sciences","1","3","3","4","3","1"
"Medical Pre-Medical","1","2","4","4","3","1"
"Professions and Applied Sciences","0","1","2","2","3","1"
"Professions and Applied Sciences","1","1","3","3","3","1"
"Interdisciplinary and Other","1","3","2","2","3","1"
"Professions and Applied Sciences","1","3","3","2","3","1"
"Business and Management","1","3","2","3","3","1"
"Professions and Applied Sciences","1","1","5","3","3","1"
"Interdisciplinary and Other","0","4","1","2","3","1"
"Professions and Applied Sciences","1","2","5","4","3","1"
"Professions and Applied Sciences","0","1","6","4","3","1"
"Professions and Applied Sciences","1","1","5","2","3","1"
"Business and Management","1","1","5","3","3","1"
"Professions and Applied Sciences","0","3","5","3","3","1"
"Professions and Applied Sciences","0","1","2","4","3","1"
"Professions and Applied Sciences","1","3","4","2","3","1"
"Professions and Applied Sciences","1","3","5","2","3","1"
"Education","1","3","1","3","3","1"
"Professions and Applied Sciences","1","4","1","4","3","1"
"Professions and Applied Sciences","0","1","6","4","3","1"
"Professions and Applied Sciences","0","3","6","3","3","1"
"Business and Management","1","4","2","2","3","1"
"Professions and Applied Sciences","1","1","1","4","3","1"
"Social Sciences","0","4","4","3","3","1"
"Education","0","3","2","3","3","1"
"Professions and Applied Sciences","1","1","5","4","3","1"
"Business and Management","1","3","1","3","3","1"
"Mathematics & Statistics","1","3","1","3","3","1"
"Interdisciplinary and Other","0","3","4","2","3","1"
"Social Sciences","1","4","3","2","3","1"
"Business and Management","1","1","3","2","3","1"
"Social Sciences","1","1","2","4","3","1"
"Professions and Applied Sciences","1","1","5","4","3","1"
"Education","0","1","5","4","3","1"
"Business and Management","1","1","2","4","3","1"
"Professions and Applied Sciences","1","3","1","5","3","1"
"Professions and Applied Sciences","1","1","3","2","3","1"
"Professions and Applied Sciences","0","4","3","1","3","1"
"Social Sciences","0","3","6","2","3","1"
"Professions and Applied Sciences","1","3","2","3","3","1"
"Mathematics & Statistics","1","3","3","3","3","1"
"Professions and Applied Sciences","1","3","2","4","3","1"
"Professions and Applied Sciences","0","4","1","2","3","1"
"Professions and Applied Sciences","1","3","2","3","3","1"
"Professions and Applied Sciences","1","1","5","4","3","1"
"Professions and Applied Sciences","0","3","2","3","3","1"
"Professions and Applied Sciences","1","3","1","4","3","1"
"Education","1","3","2","3","3","1"
"Mathematics & Statistics","1","3","2","3","3","1"
"Professions and Applied Sciences","0","3","1","4","3","1"
"Interdisciplinary and Other","0","3","5","3","3","1"
"Professions and Applied Sciences","0","3","1","5","3","1"
"Professions and Applied Sciences","0","1","1","2","3","1"
"Computer Science","0","3","4","1","3","1"
"Interdisciplinary and Other","0","3","1","5","3","1"
"Business and Management","0","4","1","5","3","1"
"Computer Science","0","3","1","6","3","1"
"Education","0","4","1","3","3","1"
"Professions and Applied Sciences","0","1","3","2","3","1"
"Professions and Applied Sciences","0","3","3","2","3","1"
"Interdisciplinary and Other","0","3","5","2","3","1"
"Professions and Applied Sciences","0","1","1","5","3","1"
"Mathematics & Statistics","0","1","3","3","3","1"
"Mathematics & Statistics","0","1","1","4","3","1"
"Professions and Applied Sciences","0","1","1","3","3","1"
"Interdisciplinary and Other","0","2","3","3","3","1"
"Interdisciplinary and Other","0","1","5","2","3","1"
"Interdisciplinary and Other","0","1","1","6","3","1"
"Interdisciplinary and Other","0","3","5","3","3","1"
"Interdisciplinary and Other","0","3","1","4","3","1"
"Computer Science","0","3","4","2","3","1"
"Interdisciplinary and Other","0","1","5","2","3","1"
"Computer Science","0","1","5","2","3","1"
"Interdisciplinary and Other","0","1","5","4","3","1"
"Professions and Applied Sciences","0","1","1","3","3","1"
"Business and Management","0","1","1","3","3","1"
"Professions and Applied Sciences","0","3","1","5","3","1"
"Business and Management","0","3","1","5","3","1"
"Professions and Applied Sciences","0","4","1","3","3","1"
"Education","0","4","0","3","3","1"
"Mathematics & Statistics","0","0","0","2","3","1"
"Professions and Applied Sciences","0","4","1","4","3","1"
"Business and Management","0","3","1","4","3","1"
"Professions and Applied Sciences","1","4","5","3","3","1"
"Mathematics & Statistics","0","3","5","2","3","1"
"Business and Management","0","3","1","5","3","1"
"Professions and Applied Sciences","0","3","1","3","3","1"
"Professions and Applied Sciences","0","1","5","1","3","1"
"Computer Science","0","3","3","2","3","1"
"Interdisciplinary and Other","0","3","1","3","3","1"
"Interdisciplinary and Other","0","3","5","2","3","1"
"Interdisciplinary and Other","0","1","1","3","3","1"
"Education","0","1","1","3","3","1"
"Business and Management","0","3","5","4","3","1"
"Mathematics & Statistics","0","1","1","3","3","1"
"Interdisciplinary and Other","0","3","3","2","3","1"
"Education","0","3","1","3","3","1"
"Education","0","3","1","2","3","1"
"Education","0","0","0","0","3","1"
"Education","0","1","3","4","3","1"
"Education","0","1","0","3","3","1"
"Mathematics & Statistics","0","1","1","4","3","1"
"Business and Management","0","3","5","3","3","1"
"Business and Management","0","1","1","5","3","1"
"Professions and Applied Sciences","0","1","1","4","3","1"
"Education","0","0","0","0","3","1"
"Business and Management","0","1","3","4","3","1"
"Professions and Applied Sciences","0","3","5","2","3","1"
"Business and Management","0","1","5","3","3","1"
"Mathematics & Statistics","0","1","1","5","3","1"
"Education","0","3","1","2","3","1"
"Business and Management","0","1","1","4","3","1"
"Professions and Applied Sciences","0","3","1","2","3","1"
"Business and Management","0","1","1","3","3","1"
"Education","0","1","1","4","3","1"
"Professions and Applied Sciences","1","4","1","2","3","1"
"Professions and Applied Sciences","0","3","1","4","3","1"
"Education","0","4","0","2","3","1"
"Humanities","0","3","1","3","3","1"
"Business and Management","0","4","5","2","3","1"
"Computer Science","0","1","1","5","3","1"
"Professions and Applied Sciences","0","4","1","6","3","1"
"Education","0","2","5","5","3","1"
"Business and Management","0","3","1","4","3","1"
"Interdisciplinary and Other","0","3","4","2","3","1"
"Interdisciplinary and Other","0","3","5","2","3","1"
"Professions and Applied Sciences","0","1","1","3","3","1"
"Business and Management","1","3","3","3","3","1"
"Business and Management","1","4","2","2","3","1"
"Business and Management","1","1","2","3","3","1"
"Professions and Applied Sciences","1","3","3","4","3","1"
"Business and Management","1","3","2","3","3","1"
"Professions and Applied Sciences","1","4","2","6","3","1"
"Education","1","1","2","4","3","1"
"Business and Management","1","2","2","3","3","1"
"Professions and Applied Sciences","1","3","2","3","3","1"
"Professions and Applied Sciences","1","3","2","5","3","1"
"Professions and Applied Sciences","1","3","2","5","3","1"
"Education","0","3","1","4","3","1"
"Professions and Applied Sciences","1","3","5","3","3","1"
"Education","1","1","1","4","3","1"
"Professions and Applied Sciences","1","1","1","5","3","1"
"Professions and Applied Sciences","0","0","0","4","3","1"
"Professions and Applied Sciences","0","0","0","3","3","1"
